Feature,Instance,X,Y
A,104,3251.93,3036.74
A,105,4695.15,2129.24
A,106,4351.35,3622.23
A,107,579.01,1597.4
A,108,3035.59,2190.94
A,109,3066.5,2460.52
A,110,4401.1,2887.19
A,111,2383.7,4105.37
A,112,2154.66,3631.24
A,113,4568.28,4987.02
A,114,3685.19,1079.48
A,115,2832.48,1440.35
A,116,2846.71,1385.18
A,117,2912.24,900.78
A,118,2268.79,936.75
A,119,3037.75,4506.02
A,120,4531.4,1403.07
A,121,1266.41,2802.92
A,122,228.44,2745.58
A,123,3385.11,4405.96
A,124,3136.45,271.95
A,125,3938.34,4617.65
A,126,3832.85,373.63
A,127,633.91,1626.33
A,128,1141.12,3254.35
A,129,2458.95,1386.45
A,130,612.07,4331.56
A,131,442.4,572.29
A,132,4904.17,3729.57
A,133,4566.97,4151.61
A,134,27.77,897.95
A,135,2126.8,2967.5
A,136,1306.85,3362.01
A,137,1780.33,331.71
A,138,2546.61,4239.54
A,139,690.79,4095.47
A,140,1696.53,4498.14
A,141,2909.85,2524.77
A,142,211.06,2153.85
A,143,2178.74,1718.22
A,144,2001.2,4683.46
A,145,4536.08,615.02
A,146,1082.46,2812.23
A,147,494.5,1178.31
A,148,2960.32,2003.94
A,149,1007.63,3840.41
A,150,3402.06,170.03
A,151,3263.95,3006.35
A,152,1400.75,2205.46
A,153,1365.77,3176.2
A,154,1698.41,3450.67
A,155,4618.22,2682.23
A,156,2933.28,793.16
A,157,2604.97,1442.18
A,158,4921.82,3754.16
A,159,2372.92,1358.45
A,160,4640.98,3483.05
A,161,2768.32,3163.35
A,162,2307.88,2508.27
A,163,603.33,550.73
A,164,931.09,4541.83
A,165,4215.76,4644.04
A,166,2096.68,409.88
A,167,2850.26,2534.65
A,168,1310.54,3180.25
A,169,45.62,967.71
A,170,1441.89,3652.6
A,171,4433.48,4931.62
A,172,3817.26,2733.46
A,173,690.55,4775.63
A,174,580.47,2961.1
A,175,3947.72,4100.26
A,176,3670.54,4226.03
A,177,2218.89,4716.98
A,178,4999.93,1116.8
A,179,2735.56,4585.51
A,180,547.57,1485.69
A,181,627.75,1146.02
A,182,2757.54,748.93
A,183,2813.74,304.77
A,184,1184.72,3157.02
A,185,2320.29,3492.69
A,186,4299.66,1020.47
A,187,3067.92,2336.27
A,188,1307.77,3017.5
A,189,937.14,3918.14
A,190,4055.24,2364.17
A,191,2519.67,37.67
A,192,4469.49,3430.55
A,193,2675.78,604.92
A,194,150.18,3747.18
A,195,3307.97,4757.34
A,196,326.45,240.59
A,197,4159.24,4294.78
A,198,3875.75,1533.29
A,199,1947.46,1233.97
A,200,1956.95,966.02
A,201,3389.21,3748.3
A,202,1410.45,3902.93
A,203,2264.3,1738.76
A,204,2800.38,406.21
A,205,3365.65,4412.6
A,206,3019.35,1998.17
A,207,1578.81,895.92
A,208,2433.87,1286.96
A,209,164.63,1392.56
A,210,1343.7,2724.95
A,211,2235.06,3270.21
A,212,4695.35,4343.68
A,213,729.95,4827.43
A,214,4751.14,3249.92
A,215,1476.14,1249.39
A,216,3412.84,2203.16
A,217,4749.45,4872.59
A,218,1171.93,1933.51
A,219,457.59,2180.89
A,220,2734.43,788.55
A,221,3637.74,1400.67
A,222,3559.58,4365.77
A,223,1799.14,3430.42
A,224,2292.43,1334.37
A,225,2375.21,1186.32
A,226,4918.24,18.0
A,227,1385.37,303.15
A,228,3656.45,4707.32
A,229,1578.84,4670.12
A,230,1864.38,3277.86
A,231,1725.96,3149.3
A,232,4552.66,2933.57
A,233,2548.21,2165.5
A,234,2482.1,706.78
A,235,1918.97,3477.95
A,236,2542.76,4143.19
A,237,4138.4,1390.16
A,238,324.29,2046.17
A,239,3183.72,2638.59
A,240,4927.01,2225.89
A,241,4341.79,4077.87
A,242,2629.5,3675.38
A,243,3929.09,4455.53
A,244,2487.62,1078.0
A,245,3033.37,2631.32
A,246,2854.39,1077.91
A,247,1989.9,4461.95
A,248,1501.21,800.64
A,249,2439.21,684.95
A,250,3266.41,1687.01
A,251,3026.3,2932.92
A,252,4782.75,2804.66
A,253,1675.64,899.41
A,254,2143.2,3497.37
A,255,4660.74,3362.37
A,256,936.75,4856.51
A,257,3691.95,1183.72
A,258,4810.47,3931.71
A,259,4848.24,4701.3
A,260,3344.97,3134.49
A,261,1891.24,3349.65
A,262,2035.44,1231.74
A,263,3509.03,648.44
A,264,3195.0,511.51
A,265,4269.19,1586.2
A,266,2102.82,3299.82
A,267,4435.34,1823.6
A,268,1959.86,622.39
A,269,210.6,1534.31
A,270,3486.31,590.57
A,271,1128.97,1206.91
A,272,3613.71,3500.08
A,273,2893.65,3731.31
A,274,4716.43,168.63
A,275,3617.43,1343.51
A,276,4113.03,2378.88
A,277,731.15,3192.18
A,278,2651.71,1874.12
A,279,4624.78,4603.97
A,280,3146.57,2878.55
A,281,4930.72,3488.15
A,282,4905.54,1140.0
A,283,3505.74,2324.27
A,284,2270.76,3105.85
A,285,1370.93,845.84
A,286,4783.64,1861.21
A,287,3731.46,2245.16
A,288,3082.0,1340.59
A,289,2734.69,4205.75
A,290,1149.11,4016.53
A,291,202.71,4229.37
A,292,1903.63,4879.45
A,293,3917.75,1869.25
A,294,1013.97,4414.6
A,295,4224.67,4595.51
A,296,2904.29,4967.87
A,297,1212.11,52.26
A,298,591.3,4343.7
A,299,756.01,1019.59
A,300,871.07,2433.76
A,301,3712.32,2734.97
A,302,1028.28,450.16
A,303,201.43,1311.13
A,304,1322.85,2753.1
A,305,3870.23,2732.99
A,306,1810.14,4523.12
A,307,2984.2,3072.55
A,308,2834.68,1653.57
A,309,2730.86,403.87
A,310,2980.86,4103.73
A,311,4679.09,97.18
A,312,1830.07,3711.83
A,313,3306.08,203.58
A,314,975.05,2848.16
A,315,2811.71,3761.44
A,316,3628.2,78.78
A,317,2411.29,4459.18
A,318,3218.16,3643.37
A,319,26.17,4719.24
A,320,1862.9,1908.61
A,321,1788.56,3567.57
A,322,2640.83,3299.39
A,323,2943.03,3579.45
A,324,4775.99,39.83
A,325,4240.47,2282.42
A,326,3148.94,692.98
A,327,3179.84,4010.75
A,328,4172.2,711.62
A,329,1672.73,2683.95
A,330,523.17,3088.0
A,331,1801.84,1423.23
A,332,2273.59,2691.59
A,333,4489.77,2046.0
A,334,682.35,827.96
A,335,2447.14,4312.96
A,336,3866.53,4300.73
A,337,3620.32,392.11
A,338,93.05,2145.21
A,339,2486.27,406.41
A,340,3170.4,1789.18
A,341,2546.29,3309.38
A,342,4892.51,1032.58
A,343,927.91,1336.38
A,344,2597.94,3175.79
A,345,64.07,1374.99
A,346,4538.1,4494.15
A,347,3551.72,1035.44
A,348,1971.31,869.99
A,349,521.09,1907.72
A,350,2047.11,1156.08
A,351,687.96,1205.91
A,352,2398.01,2497.11
A,353,3837.33,871.19
A,354,3707.79,4802.69
A,355,3605.18,3577.69
A,356,4039.64,4449.91
A,357,1764.01,3349.12
A,358,4914.85,4056.71
A,359,822.94,1657.55
A,360,4868.82,4569.77
A,361,3293.47,4699.56
A,362,1797.64,539.27
A,363,4474.93,4699.23
A,364,751.9,3635.17
A,365,828.18,2466.59
A,366,3081.32,2027.54
A,367,4374.68,3917.49
A,368,165.65,3070.85
A,369,574.24,4016.51
A,370,2764.72,2710.51
A,371,592.89,1830.87
A,372,2165.18,436.66
A,373,1026.95,4672.37
A,374,3581.94,4659.21
A,375,4917.06,1052.16
A,376,4280.69,2935.66
A,377,118.39,2732.01
A,378,2249.14,4357.59
A,379,1932.25,2869.03
A,380,882.19,2162.94
A,381,4067.64,2097.25
A,382,4641.1,1206.99
A,383,4858.72,2694.24
A,384,4928.84,4212.39
A,385,703.41,1279.38
A,386,489.06,3446.9
A,387,3010.86,3039.93
A,388,1521.97,2229.19
A,389,4149.04,3983.43
A,390,495.46,129.67
A,391,4797.17,1163.45
A,392,1763.11,3136.19
A,393,1843.33,1164.46
A,394,958.07,1972.87
A,395,4338.76,4702.48
A,396,186.09,1950.76
A,397,4675.22,2342.09
A,398,111.99,2882.41
A,399,4468.95,1997.18
A,400,2290.55,4669.08
A,401,3526.01,625.83
A,402,1783.24,3391.02
A,403,47.96,632.28
A,404,4496.8,1667.18
A,405,2378.99,985.23
A,406,1028.28,2054.38
A,407,2257.09,382.94
A,408,1774.91,2601.62
A,409,1361.55,696.97
A,410,3623.45,4130.06
A,411,1756.21,1198.03
A,412,4405.96,470.03
A,413,2447.3,4601.73
A,414,2265.38,3408.75
A,415,4227.19,4124.66
A,416,4357.58,4340.73
A,417,2241.57,1056.2
A,418,3702.25,4102.68
A,419,4396.52,153.01
A,420,4059.69,1235.6
A,421,3676.03,1162.35
A,422,3432.13,1426.54
A,423,1054.59,4060.27
A,424,3396.63,159.97
A,425,4173.85,4946.62
A,426,4292.67,865.7
A,427,3978.31,4656.03
A,428,2826.09,1782.29
A,429,1486.25,4989.38
A,430,3941.72,2713.33
A,431,4857.47,4332.32
A,432,2648.53,4051.78
A,433,3393.66,1638.34
A,434,1910.3,3636.1
A,435,4227.99,4253.32
A,436,4440.9,4506.1
A,437,3300.31,1202.06
A,438,261.51,2114.04
A,439,3860.25,220.15
A,440,854.04,1352.23
A,441,1331.7,1247.84
A,442,2456.96,4459.98
A,443,3095.31,2297.7
A,444,3617.92,2371.56
A,445,343.0,25.98
A,446,3532.9,293.18
A,447,4862.47,4422.61
A,448,907.11,2883.68
A,449,4705.12,1555.17
A,450,1071.95,3893.68
A,451,2272.43,4030.57
A,452,4712.55,189.57
A,453,1740.03,2342.63
A,454,3406.75,1752.37
A,455,1464.86,71.35
A,456,3800.58,4851.17
A,457,4622.4,1285.26
A,458,1157.63,4726.85
A,459,848.64,1014.76
A,460,1816.72,2918.38
A,461,786.3,1503.83
A,462,642.61,1821.1
A,463,4008.72,1323.41
A,464,3608.39,685.96
A,465,104.23,1576.98
A,466,4410.06,2913.98
A,467,715.73,1150.34
A,468,4699.66,725.88
A,469,787.29,3666.25
A,470,4630.42,146.79
A,471,3653.81,1523.52
A,472,3393.88,4712.0
A,473,1336.3,730.76
A,474,4581.39,1682.3
A,475,2626.5,1063.04
A,476,460.53,3864.43
A,477,82.82,1039.77
A,478,3875.03,3941.42
A,479,2985.46,1370.79
A,480,1094.08,715.95
A,481,4477.31,596.0
A,482,2135.37,2588.07
A,483,241.8,1846.76
A,484,4209.43,1486.61
A,485,4582.19,2885.47
A,486,1365.74,952.32
A,487,3625.97,4021.21
A,488,4096.11,4350.95
A,489,1913.96,4896.76
A,490,2464.85,4867.43
A,491,2350.59,2695.85
A,492,155.35,2964.06
A,493,4767.01,2813.6
A,494,978.4,4067.34
A,495,2786.38,4891.92
A,496,4280.58,2101.31
A,497,2059.02,2311.29
A,498,3270.27,3645.41
A,499,103.75,1954.49
A,500,4426.37,1708.39
A,501,2717.64,1743.84
A,502,4852.72,3371.25
A,503,1844.17,3560.38
A,504,1103.58,1321.42
A,505,1495.98,677.0
A,506,1717.04,3271.27
A,507,3419.55,630.66
A,508,1567.51,387.62
A,509,1232.84,1909.58
A,510,1841.44,2806.14
A,511,3628.31,3210.7
A,512,835.99,2429.84
A,513,4331.47,4714.12
A,514,1008.97,1405.32
A,515,1124.83,271.5
A,516,4869.69,1202.58
A,517,1841.56,4561.03
A,518,3423.59,3079.64
A,519,977.93,95.71
A,520,4768.4,2734.51
A,521,3324.35,128.66
A,522,536.76,1534.09
A,523,676.72,1236.84
A,524,2972.31,1926.0
A,525,1654.29,4038.33
A,526,2499.16,529.92
A,527,1407.41,3500.26
A,528,3434.4,2983.82
A,529,4483.94,3905.76
A,530,974.96,2986.71
A,531,2596.51,3933.12
A,532,1814.69,1172.3
A,533,4379.35,1979.21
A,534,4425.48,4416.95
A,535,3386.63,4626.7
A,536,3909.32,1046.27
A,537,3831.24,200.67
A,538,2774.61,998.25
A,539,4735.17,2918.61
A,540,4867.86,38.95
A,541,1563.05,4390.27
A,542,1754.95,1209.63
A,543,3127.24,652.38
A,544,3060.02,813.36
A,545,4098.19,1756.75
A,546,3719.62,1542.38
A,547,1745.68,593.96
A,548,4080.24,2203.49
A,549,3609.99,487.42
A,550,3008.1,4546.19
A,551,258.53,3801.39
A,552,451.95,1484.56
A,553,3546.37,1713.78
A,554,4323.29,3109.84
A,555,2860.66,2550.72
A,556,850.38,365.85
A,557,2343.97,3701.88
A,558,2113.79,263.0
A,559,926.48,3255.69
A,560,4240.99,2502.95
A,561,1153.42,3305.84
A,562,3060.69,3228.21
A,563,4568.16,4989.81
A,564,4314.35,3223.72
A,565,3422.26,2919.38
A,566,508.87,1922.15
A,567,3617.58,344.43
A,568,2416.56,3731.84
A,569,2599.48,3630.75
A,570,4088.74,4423.02
A,571,337.72,3730.97
A,572,2892.54,2522.27
A,573,4293.09,3284.73
A,574,394.95,483.36
A,575,264.68,1131.38
A,576,2744.37,4680.17
A,577,3701.08,3389.0
A,578,4091.03,886.69
A,579,2078.16,2631.04
A,580,4074.22,2212.48
A,581,1898.97,3744.25
A,582,3265.73,2473.13
A,583,2106.45,2379.07
A,584,2227.99,2063.36
A,585,1733.21,1561.58
A,586,583.5,202.85
A,587,1613.69,3129.99
A,588,3749.88,1696.06
A,589,4560.08,2544.83
A,590,134.29,1472.92
A,591,2544.17,4907.72
A,592,2068.81,1294.33
A,593,2170.75,3876.53
A,594,2499.05,1835.57
A,595,2775.01,4952.29
A,596,1727.73,1858.47
A,597,1624.03,217.5
A,598,4450.03,882.83
A,599,1502.77,962.54
A,600,3012.77,1457.63
A,601,4138.92,1369.08
A,602,2666.12,1735.27
A,603,183.63,2593.75
A,604,2237.45,3473.86
A,605,2464.72,3625.76
A,606,3681.08,1046.21
A,607,4956.79,4789.97
A,608,905.51,3752.31
A,609,1703.3,2774.15
A,610,2711.58,4628.7
A,611,1389.38,599.98
A,612,1829.71,2461.21
A,613,58.98,1465.11
A,614,296.65,2567.42
A,615,1527.21,1252.94
A,616,1487.43,3958.79
A,617,3679.66,1517.01
A,618,2615.48,4818.78
A,619,3360.16,1006.05
A,620,4034.17,2556.31
A,621,3908.19,782.75
A,622,3196.42,161.05
A,623,2282.91,2942.4
A,624,3100.64,216.42
A,625,478.47,2294.03
A,626,2676.46,1509.27
A,627,4814.85,1491.28
A,628,1417.17,912.77
A,629,737.64,2088.5
A,630,4325.53,669.09
A,631,2370.96,31.57
A,632,1749.11,2666.94
A,633,703.23,4722.29
A,634,2366.55,3439.78
A,635,2174.49,1086.73
A,636,392.15,697.25
A,637,3739.98,155.27
A,638,720.51,606.63
A,639,2403.56,1668.66
A,640,178.3,2116.58
A,641,3364.47,80.22
A,642,2088.95,4233.18
A,643,3576.48,4978.16
A,644,4143.94,2188.38
A,645,99.84,1702.71
A,646,4081.14,1271.66
A,647,1680.52,3365.08
A,648,185.35,3876.63
A,649,4033.64,529.48
A,650,4457.82,2560.62
A,651,575.85,4660.85
A,652,3041.93,4391.74
A,653,1901.88,1979.21
A,654,2769.3,4659.59
A,655,770.77,810.55
A,656,3509.21,4068.98
A,657,1910.2,2208.94
A,658,2304.62,2290.74
A,659,2942.62,2515.93
A,660,4090.46,725.07
A,661,578.35,178.18
A,662,3339.95,471.78
A,663,2005.59,4120.49
A,664,4016.72,374.9
A,665,4969.92,1843.88
A,666,1572.99,1874.08
A,667,2210.84,2617.69
A,668,1540.73,3703.62
A,669,2038.29,2697.2
A,670,2331.3,1597.27
A,671,2208.86,4484.35
A,672,1417.6,4289.29
A,673,3193.5,12.16
A,674,4361.46,4471.58
A,675,1060.46,2894.61
A,676,934.0,1517.71
A,677,1439.02,3732.75
A,678,1982.27,397.67
A,679,1320.91,2570.15
A,680,2386.15,2781.39
A,681,2962.48,2394.39
A,682,4689.67,3926.89
A,683,4237.56,1635.12
A,684,1858.13,4292.51
A,685,668.21,3601.0
A,686,252.45,245.42
A,687,184.63,2493.18
A,688,3516.21,1094.0
A,689,3760.57,4050.65
A,690,2278.28,1993.43
A,691,4759.03,4545.15
A,692,4314.44,2075.31
A,693,909.88,55.28
A,694,435.06,3478.1
A,695,635.42,1143.06
A,696,2382.71,4468.14
A,697,311.05,4549.91
A,698,3634.79,4814.47
A,699,4794.68,2490.71
A,700,51.73,1558.38
A,701,3154.03,68.95
A,702,3803.37,2459.46
A,703,2642.16,688.59
A,704,1333.07,3945.84
A,705,216.54,888.27
A,706,1637.1,2270.25
A,707,291.87,392.72
A,708,3022.36,3417.34
A,709,3079.95,2614.36
A,710,3017.02,4182.28
A,711,1200.07,3380.04
A,712,3657.09,4525.15
A,713,1218.29,784.31
A,714,4934.37,634.72
A,715,3858.39,3701.74
A,716,1299.32,1269.86
A,717,3998.92,719.9
A,718,3839.4,4690.07
A,719,741.78,1854.98
A,720,4433.15,221.29
A,721,3722.2,1489.22
A,722,3261.56,4747.15
A,723,4505.96,112.46
A,724,4176.27,4918.33
A,725,1527.55,217.45
A,726,1734.52,2180.32
A,727,4473.69,869.45
A,728,358.31,4773.99
A,729,1411.86,4278.22
A,730,1241.17,1857.84
A,731,754.22,698.35
A,732,87.45,1514.8
A,733,4588.95,367.24
A,734,3271.33,4571.97
A,735,1553.32,3332.29
A,736,2675.56,1224.97
A,737,3181.21,2795.73
A,738,460.08,4710.85
A,739,118.48,3909.94
A,740,19.19,1105.82
A,741,1608.04,16.04
A,742,4107.17,3640.94
A,743,1967.22,4119.0
A,744,1796.17,3129.47
A,745,361.59,4065.41
A,746,3278.21,1463.56
A,747,613.81,2575.31
A,748,4467.07,3023.85
A,749,1401.77,1746.75
A,750,158.2,4138.72
A,751,1841.13,4604.3
A,752,3365.01,3195.26
A,753,2541.89,509.55
A,754,3999.11,1677.96
A,755,409.38,647.47
A,756,4655.51,2501.92
A,757,4259.03,135.35
A,758,249.8,738.18
A,759,1591.18,1446.51
A,760,4547.58,469.95
A,761,3571.07,141.86
A,762,4210.39,2487.91
A,763,54.07,1212.0
A,764,611.16,605.9
A,765,3328.66,2436.22
A,766,3309.08,3371.73
A,767,3751.75,880.47
A,768,4264.69,2003.75
A,769,1651.03,911.91
A,770,1099.04,1457.67
A,771,119.89,118.2
A,772,2720.09,4714.12
A,773,4409.9,776.3
A,774,2204.53,478.46
A,775,2325.51,3728.89
A,776,1432.67,4955.26
A,777,2199.17,4688.25
A,778,567.65,1699.27
A,779,393.91,877.1
A,780,3141.19,1329.89
A,781,4898.38,3393.2
A,782,3349.31,2973.16
A,783,2338.39,1283.78
A,784,3750.17,3378.56
A,785,870.66,3246.05
A,786,4087.15,679.27
A,787,347.46,3089.91
A,788,350.06,3452.87
A,789,2421.77,4496.27
A,790,3078.01,4277.77
A,791,4007.47,132.71
A,792,3280.39,4599.77
A,793,1003.55,3353.81
A,794,1172.56,4063.5
A,795,312.82,2565.42
A,796,1609.84,773.93
A,797,2770.72,4769.15
A,798,1559.29,1726.69
A,799,1768.9,4746.93
A,800,2375.73,3126.12
A,801,2026.13,3825.97
A,802,4607.8,4079.46
A,803,4641.75,753.4
A,804,4607.8,4109.26
A,805,4338.19,2114.79
A,806,4277.5,897.64
A,807,2799.09,3863.42
A,808,2322.42,4765.68
A,809,112.81,3749.54
A,810,1969.61,3984.58
A,811,111.22,4686.67
A,812,3065.74,3305.23
A,813,1636.21,3313.21
A,814,2908.56,578.31
A,815,1530.62,3623.37
A,816,1683.97,2674.84
A,817,2120.54,4951.89
A,818,2251.64,181.5
A,819,524.91,4200.94
A,820,4958.02,250.15
A,821,3746.01,2063.3
A,822,4725.31,3198.03
A,823,3287.93,712.2
A,824,2974.84,3907.3
A,825,2446.73,1793.61
A,826,1613.88,3019.36
A,827,2777.33,3391.15
A,828,3014.89,2339.46
A,829,760.23,1302.57
A,830,2443.25,1328.53
A,831,2844.85,4029.49
A,832,2578.64,714.82
A,833,430.82,1602.66
A,834,3777.1,2847.2
A,835,1611.77,2140.93
A,836,4240.77,911.88
A,837,3791.52,1719.46
A,838,238.56,3047.93
A,839,4961.36,4867.71
A,840,17.3,924.01
A,841,338.38,4001.26
A,842,3131.58,4737.0
A,843,2009.49,3664.61
A,844,4897.51,3729.39
A,845,1936.99,4912.19
A,846,4421.26,4222.34
A,847,1757.69,3629.49
A,848,2405.3,4716.53
A,849,4484.66,4010.49
A,850,2767.22,1685.27
A,851,1935.1,127.64
A,852,2295.52,305.8
A,853,2552.84,702.0
A,854,4227.83,1057.86
A,855,3152.59,4966.97
A,856,2378.09,892.53
A,857,1285.26,1519.24
A,858,990.16,3843.58
A,859,897.9,2841.64
A,860,3705.33,1766.21
A,861,1705.14,47.71
A,862,910.21,1699.59
A,863,2719.66,18.43
A,864,4154.19,162.03
A,865,4314.16,522.04
A,866,3563.27,950.88
A,867,2100.49,3332.03
A,868,3988.91,210.74
A,869,1705.74,2825.78
A,870,2184.16,1307.49
A,871,4436.78,3839.65
A,872,576.8,1970.02
A,873,2534.09,3528.74
A,874,2937.08,238.45
A,875,2639.33,3561.72
A,876,3818.62,1643.02
A,877,305.15,1001.01
A,878,4980.13,1887.39
A,879,4217.42,595.94
A,880,2586.14,2534.41
A,881,1547.81,4065.8
A,882,1743.7,2630.55
A,883,1403.7,1427.22
A,884,3792.04,2953.23
A,885,2530.33,779.42
A,886,2137.85,3072.12
A,887,657.48,2397.84
A,888,2329.43,2865.49
A,889,4470.91,3940.19
A,890,4165.49,4190.93
A,891,2081.35,3915.74
A,892,2522.7,752.45
A,893,1703.42,1920.25
A,894,645.72,1099.48
A,895,3351.9,2101.52
A,896,993.32,1109.8
A,897,239.64,4649.75
A,898,4759.67,370.98
A,899,2095.95,2946.25
A,900,566.33,1106.88
A,901,4736.7,4983.85
A,902,2708.12,1859.92
A,903,1423.87,746.5
A,904,985.54,2907.31
A,905,3671.58,2114.63
A,906,2416.48,277.24
A,907,1430.44,3395.21
A,908,453.06,2632.08
A,909,1543.1,991.25
A,910,927.13,4483.45
A,911,781.49,2692.56
A,912,4601.33,428.82
A,913,4786.1,1028.04
A,914,2832.48,1007.73
A,915,2638.17,1958.45
A,916,769.54,1524.66
A,917,3373.86,3058.61
A,918,4454.23,2097.51
A,919,1207.62,662.78
A,920,4328.58,956.91
A,921,934.71,2738.41
A,922,2427.9,1237.27
A,923,4685.04,716.08
A,924,4679.36,1844.43
A,925,4196.7,2127.6
A,926,3827.87,1104.69
A,927,2019.12,1082.88
A,928,325.39,2044.13
A,929,382.52,2279.3
A,930,2073.82,395.83
A,931,2914.03,4977.82
A,932,269.14,1713.13
A,933,1345.09,891.82
A,934,1903.38,3371.83
A,935,3940.98,3355.55
A,936,1424.46,880.32
A,937,1662.68,4970.22
A,938,3548.73,3043.08
A,939,264.66,3364.05
A,940,743.78,4070.02
A,941,1348.68,988.05
A,942,1811.03,510.57
A,943,3130.58,4664.85
A,944,4505.54,2290.98
A,945,2733.23,2410.1
A,946,1714.98,3928.32
A,947,3588.96,3932.75
A,948,3042.89,956.9
A,949,2469.28,714.77
A,950,4892.18,3793.22
A,951,3812.7,1307.53
A,952,2903.45,841.15
A,953,703.14,2947.55
A,954,4442.02,2048.9
A,955,2534.15,2282.31
A,956,1779.47,2018.47
A,957,1535.52,3003.8
A,958,4047.14,1925.98
A,959,3166.79,4758.56
A,960,3582.55,1680.24
A,961,1386.28,4612.4
A,962,638.6,1530.89
A,963,1640.56,2496.13
A,964,2291.36,2729.93
A,965,1927.33,2591.84
A,966,573.8,4549.9
A,967,3471.87,1950.56
A,968,257.32,41.15
A,969,3084.6,969.88
A,970,4807.43,183.02
A,971,222.83,2456.63
A,972,4756.83,450.91
A,973,630.63,4696.52
A,974,2392.8,585.17
A,975,4885.61,1116.91
A,976,2790.11,2710.71
A,977,2132.22,3211.94
A,978,2406.94,4200.3
A,979,668.93,1372.56
A,980,4200.58,3207.01
A,981,656.2,1712.09
A,982,121.57,4942.31
A,983,1708.51,2229.58
A,984,3546.59,4584.96
A,985,2746.47,4005.99
A,986,3841.38,2196.9
A,987,4951.13,3399.53
A,988,1457.4,3929.65
A,989,4855.57,187.69
A,990,900.26,1944.05
A,991,103.33,1706.19
A,992,2844.32,810.42
A,993,4801.73,2863.09
A,994,2417.68,259.93
A,995,4543.62,1057.02
A,996,4372.23,1712.04
A,997,1769.3,1600.43
A,998,4526.83,3510.74
A,999,2335.06,4814.52
A,1000,3742.4,3401.05
A,1001,1149.92,2807.84
A,1002,2838.69,879.62
A,1003,2275.53,593.21
A,1004,2759.58,3732.69
A,1005,1754.54,3477.29
A,1006,4344.73,481.24
A,1007,472.3,2256.54
A,1008,3103.67,3950.01
A,1009,3867.78,4311.15
A,1010,140.58,3845.43
A,1011,4811.9,3286.66
A,1012,41.34,1689.45
A,1013,4633.76,2129.35
A,1014,427.6,3350.7
A,1015,3872.7,2946.66
A,1016,1594.59,41.05
A,1017,1445.29,2499.21
A,1018,794.12,2295.49
A,1019,3867.5,1964.69
A,1020,3534.9,4208.52
A,1021,103.5,3684.99
A,1022,3505.39,1066.34
A,1023,1712.3,3890.99
A,1024,1239.73,4512.76
A,1025,3496.76,576.82
A,1026,4642.97,3023.91
