Feature,Instance,X,Y,Checkin
A,230,20177.77289,62502.50014,476
A,231,47131.6907,71817.09378,552
A,232,18618.08724,78139.09354,568
A,233,24004.56955,55734.38401,462
A,234,27681.283389999997,53991.90723,570
A,235,20648.7008,70226.09943999999,580
A,236,16588.02665,57153.40274,688
A,237,20595.81141,74998.5033,479
A,238,36953.14912,96970.56181,588
A,239,6303.6634890000005,48003.22228,579
A,240,38752.19487,77301.65776,475
A,241,20915.252669999998,62016.61142000001,449
A,242,14028.68258,59938.74824,500
A,243,22002.87865,61739.70852000001,700
A,244,10147.84332,59713.93588,569
A,245,13160.27518,76880.03295,606
A,246,27849.96289,54923.9012,799
A,247,9341.011837,28374.03489,486
A,248,6334.922105,47539.820360000005,509
A,249,27562.718989999998,60181.43644,579
A,250,20088.56025,63861.264489999994,627
A,251,32149.70638,53813.20452000001,609
A,252,3465.05104,33037.85834,607
A,253,26954.32173,53774.75754,681
A,254,21778.11644,62602.1148,661
A,255,16261.367119999999,43882.545939999996,552
A,256,19305.275419999998,62916.91892999999,585
A,257,47903.15166,17803.92242,603
A,258,12814.4885,45967.0694,661
A,259,40930.294160000005,55786.4634,780
A,260,8198.206056,65280.494829999996,502
A,261,33223.98831,100739.0117,831
A,262,15926.378359999999,43058.787130000004,447
A,263,22295.52369,61786.65349,640
A,264,2865.666404,44873.53575,667
A,265,8017.872409999999,62837.407629999994,524
A,266,52713.39905,20586.89562,730
A,267,8186.432441,65660.53186,684
A,268,23492.21326,34655.09285,525
A,269,22833.56507,80734.67669,732
A,270,34827.608960000005,53334.91163,738
A,271,20499.2631,73111.1821,506
A,272,12413.589409999999,62828.97647,590
A,273,43361.78241,31193.57281,515
A,274,33368.05548,103787.3047,858
A,275,20392.02757,64348.57883,577
A,276,12930.61308,62456.980789999994,487
A,277,24498.08991,58870.80877999999,666
A,278,14091.97665,59693.186539999995,539
A,279,33791.97397,67145.58539,509
A,280,32647.09824,86787.1912,613
A,281,33453.4354,40946.69812,567
A,282,7375.701312,64272.219470000004,453
A,283,35740.847480000004,43545.71165,618
A,284,51024.18393,110262.6246,725
A,285,25497.82347,58719.181560000005,592
A,286,47000.49445,91383.6322,651
A,287,27165.00878,55192.239279999994,589
A,288,18732.32204,53711.47372,603
A,289,32635.12641,52599.13981,529
A,290,35340.75204,49973.80814,756
A,291,23555.70418,56371.699479999996,809
A,292,30693.42597,52811.42238,602
A,293,36188.40837,75272.24312,626
A,294,25869.425,57674.074179999996,544
A,295,27376.24602,54553.01927999999,376
A,296,19980.8194,58582.43417000001,699
A,297,62335.174770000005,48149.62597,405
A,298,19531.44886,45266.626039999996,620
A,299,6808.959214,33410.82299,584
A,300,11700.66398,49738.77147,706
A,301,24823.06838,57494.413629999995,714
A,302,26167.25991,54853.54501,499
A,303,28086.1677,51367.254960000006,606
A,304,25790.20555,61257.639989999996,519
A,305,22300.33958,60428.67991,474
A,306,13422.5853,80780.35197,571
A,307,25632.602469999998,31362.307380000002,566
A,308,21617.898090000002,64592.380789999996,582
A,309,16229.37873,78754.45681,514
A,310,27581.750739999996,67683.63148,528
A,311,18544.67216,42445.350660000004,598
A,312,20558.0739,55854.31363,669
A,313,37571.28715,40923.79922,579
A,314,17558.19008,63413.967520000006,584
A,315,30067.83363,49187.337999999996,652
A,316,25662.43581,49303.53653,661
A,317,37223.4898,37730.24972,783
A,318,41470.09788,35195.62263,788
A,319,46875.75531,40357.43023,583
A,320,25838.38325,73125.15978999999,614
A,321,20452.183380000002,39737.97946,721
A,322,17058.22113,65263.610239999995,535
A,323,31785.22923,42272.261289999995,517
A,324,37106.77632,28603.736660000002,545
A,325,20386.056119999997,26093.445209999998,674
A,326,39115.25258,90973.1784,743
A,327,36615.14995,60872.47967000001,623
A,328,32043.33896,52408.820589999996,711
A,329,48070.384210000004,64994.38115,788
A,330,9847.085079,42408.78593,617
A,331,23301.17812,69223.12557999999,529
A,332,20965.58779,60561.384360000004,671
A,333,21169.908059999998,64618.03067000001,541
A,334,20905.08525,61137.57671,505
A,335,19379.29216,47399.08571,617
A,336,5669.840043,38481.73668,444
A,337,28713.25827,52390.64403,695
A,338,16764.26754,64622.00679,678
A,339,16533.92762,59331.86067,519
A,340,35864.74804,68347.2985,597
A,341,22665.294130000002,63134.068620000005,727
A,342,28907.330089999996,89574.57488,660
A,343,27226.361080000002,48214.54702,522
A,344,31124.50295,46038.0493,584
A,345,29090.960389999997,32009.88058,518
A,346,26852.38352,59084.19397000001,689
A,347,19000.35727,51724.32626,511
A,348,23806.28502,62099.608770000006,577
A,349,16769.31972,43389.05024,542
A,350,23643.79114,64050.547920000005,707
A,351,17401.77495,55626.66119,737
A,352,33424.4769,59862.84553,741
A,353,22077.36159,68863.18077,878
A,354,37527.28862,94459.78031,620
A,355,11570.12317,74691.98554,592
A,356,11797.34046,65558.11052999999,493
A,357,26971.20608,71785.85282,708
A,358,17612.6634,37746.97839,597
A,359,21417.916080000003,58487.77575,549
A,360,49809.52637,64999.0478,646
A,361,31578.71543,53216.57468,570
A,362,23825.72672,95326.51911000001,537
A,363,12155.53923,75943.96262,633
A,364,28413.96221,53896.25757,617
A,365,25365.01795,83235.81304,564
A,366,28952.535480000002,50175.40976,532
A,367,17236.92281,86929.99745,523
A,368,20554.41303,60641.730970000004,555
A,369,18837.43181,70213.61419,620
A,370,32327.93015,41892.01265,414
A,371,32452.518210000002,46970.52218,477
A,372,22500.2433,63450.287220000006,418
A,373,21335.86045,59108.10639,564
A,374,26507.05796,37939.54741,402
A,375,24066.47469,79868.18292,642
A,376,11288.21889,60740.04253,576
A,377,20945.03314,73596.59192,657
A,378,25484.56731,61010.797470000005,421
A,379,23144.751269999997,42171.20989,640
A,380,22308.20914,69609.60012999999,641
A,381,24051.95431,77895.84846000001,702
A,382,28370.40644,23315.483930000002,684
A,383,26298.55556,53519.795710000006,500
A,384,37896.07829,42583.1784,714
A,385,50100.77651,37794.057,609
A,386,29081.191089999997,61549.52295,623
A,387,42748.65207,76015.29892,757
A,388,19750.3918,34523.09008,552
A,389,47477.57552,32244.02624,664
A,390,22220.48145,69434.18301000001,698
A,391,27875.213,52795.517889999996,526
A,392,45716.44378,60855.650760000004,428
A,393,22961.57343,51874.93996,611
A,394,51847.121739999995,103428.6741,739
A,395,18558.195669999997,45258.74062,563
A,396,7507.991889,36434.579860000005,513
A,397,63772.60437000001,45344.967880000004,781
A,398,49910.88579,35373.813010000005,653
A,399,36692.29059,60830.05657000001,514
A,400,28983.66452,48322.53714,448
A,401,18661.76826,64490.327000000005,672
A,402,37600.82981,95178.67867000001,574
A,403,51058.32124,29457.9568,602
A,404,19605.8613,50640.17047,442
A,405,23122.35659,58412.11806,550
A,406,14932.00291,41520.80774,403
A,407,2300.159548,36781.6496,610
A,408,49607.08402,91821.39538,603
A,409,16287.52145,29079.03353,708
A,410,20288.24648,76978.8457,549
A,411,18925.45113,33852.76277,675
A,412,16522.739230000003,69998.87022000001,523
A,413,17813.22745,71013.22671,621
A,414,48722.17981,62735.89959,712
A,415,17072.766180000002,62794.87316,545
A,416,14004.751369999998,49528.950319999996,503
A,417,50446.35808,16908.27043,640
A,418,39040.12011,35827.39158,625
A,419,30556.4883,43013.74669,771
A,420,18320.08971,88130.90865,758
A,421,33826.45254,90863.52878,719
A,422,63929.38537999999,46247.33585,565
A,423,18979.36301,33637.50647,460
A,424,45911.86118,21273.10513,669
A,425,9567.494934999999,34623.4064,666
A,426,28259.199310000004,68041.34876000001,555
A,427,25321.59118,59533.763,574
A,428,31279.62738,32564.64419,529
A,429,19901.44042,22689.31719,473
A,430,22378.15557,47931.71892,665
A,431,38391.851689999996,91398.25586,501
A,432,42358.0066,107109.1259,653
A,433,23500.08797,60716.88747,596
A,434,15803.91685,41401.891639999994,760
A,435,16080.02744,55853.790160000004,560
A,436,30247.6476,41787.23015,668
A,437,15005.756809999999,65507.05579,759
A,438,21502.04905,58233.44876,622
A,439,54082.5381,43144.23476,444
A,440,41933.29464,57827.58365,595
A,441,20245.13329,65143.257379999995,390
A,442,21769.409880000003,68119.98018,649
A,443,36132.61677,41621.06837,591
A,444,23540.12515,51709.27937,603
A,445,32014.04358,52459.997839999996,709
A,446,28392.899380000003,47891.28945,737
A,447,24663.231819999997,22299.89117,456
A,448,27289.94185,24262.925740000002,457
A,449,32050.9653,42342.35018,698
A,450,24536.66245,39124.030660000004,502
A,451,20348.64951,60249.82127000001,667
A,452,23513.154019999998,54626.059629999996,583
A,453,41887.03938,73403.64422,520
A,454,21885.65681,41013.256389999995,642
A,455,29295.045619999997,67399.92351000001,552
A,456,20697.54476,63888.161779999995,592
A,457,19362.204830000002,51097.134860000006,760
A,458,47536.40803,106712.4381,610
A,459,49094.798039999994,99011.59296000001,585
A,460,29438.61558,64679.32085,697
A,461,19526.45651,79251.21584,437
A,462,24507.038780000003,86092.59507000001,499
A,463,23264.43949,86882.86314,610
A,464,24558.11834,55137.36435,521
A,465,32026.37067,53468.13954,594
A,466,23397.627419999997,73562.27699,592
A,467,12623.46708,53979.032170000006,720
A,468,23586.178330000002,33704.944610000006,479
A,469,29067.26344,79098.67533,519
A,470,31028.07105,74339.49179,709
A,471,25438.96302,58866.45398,625
A,472,10410.85831,64179.79971,800
A,473,23304.31043,80078.38276000001,652
A,474,24910.0988,59972.372639999994,530
A,475,26899.98347,55848.35502,503
A,476,19144.6973,66140.18353,620
A,477,29797.127999999997,50594.63998,688
A,478,19593.764069999997,62123.699389999994,814
A,479,25231.04492,35232.82219,556
A,480,20375.78589,70859.39424,509
A,481,15365.902259999999,80989.67194,577
A,482,20930.03675,35444.14692,729
A,483,28761.425069999998,51822.21458,658
A,484,27144.75088,71245.43443,549
A,485,14013.397680000002,60061.54023,594
A,486,38055.805980000005,87178.00942,649
A,487,12339.3344,76186.92926,528
A,488,18509.17152,53796.04147999999,652
A,489,20487.97073,76203.42404,663
A,490,61085.398160000004,44182.14725,530
A,491,22366.25143,52089.55028,497
A,492,41532.6896,76602.39498,606
A,493,25375.72718,58403.453010000005,492
A,494,9475.979364,41556.89355,654
A,495,24299.24075,77431.49984,500
A,496,6788.072745,56694.09945,441
A,497,27254.654,68929.68336,611
A,498,48030.176510000005,63468.831320000005,639
A,499,47813.96226,71753.53152,542
A,500,17239.17178,51753.038980000005,568
A,501,33030.839810000005,73597.91729,570
A,502,6345.654739,40013.49015,637
A,503,33913.12476,52738.35975,485
A,504,24485.91169,62358.86972,620
A,505,21030.56652,47018.11313,775
A,506,25713.91265,51900.83487,517
A,507,40674.056489999995,58463.21735,591
A,508,15062.892469999999,54574.97147999999,511
A,509,28327.89395,70149.87374,794
A,510,40095.01229,88257.87724,504
A,511,25560.15182,58454.78619,677
A,512,18177.57121,40980.57868,421
A,513,37730.18655,99773.8277,612
A,514,37615.23274,45724.30324,606
A,515,48350.93692,62550.3918,670
A,516,20551.12898,61108.50759,580
A,517,36812.76718,96459.71372999999,666
A,518,16320.45502,70967.27299,530
A,519,34196.96643,54053.88795,574
A,520,26213.393480000002,65084.69591,608
A,521,25986.794380000003,57699.7352,615
A,522,26743.16652,55969.78822,606
A,523,53006.64877,54692.92975,629
A,524,21795.96591,59432.912079999995,711
A,525,31261.377589999996,42227.73318,511
A,526,25688.97292,57887.058410000005,616
A,527,25532.15469,75540.8485,683
A,528,22158.02284,60248.90799,699
A,529,13550.72501,33420.501560000004,641
A,530,12679.73072,54034.709010000006,590
A,531,9579.895589,64791.075489999996,648
A,532,17593.540559999998,59515.007289999994,622
A,533,23359.694219999998,57451.87915,562
A,534,25725.047759999998,64484.42408,598
A,535,21441.022,41950.83029,750
A,536,51228.53755,57523.10407,504
A,537,20337.35701,51403.06233,669
A,538,10767.07996,57816.17875,538
A,539,29610.633569999998,45950.09571,717
A,540,26772.795130000002,48226.72041,635
A,541,23262.20752,69854.3822,596
A,542,23823.366469999997,55978.36417000001,695
A,543,30575.706000000002,43680.754989999994,650
A,544,22474.94995,52782.65397,431
A,545,23482.65536,18918.79571,639
A,546,31445.553089999998,21652.34025,446
A,547,45627.23772,73279.08135,796
A,548,25680.06262,65480.31443,524
A,549,5565.785438,51983.04146,462
A,550,11959.12725,66038.77573,528
A,551,25742.08808,57523.51616,556
A,552,16702.90407,27888.31323,664
A,553,32181.454939999996,73245.25648,553
A,554,1396.491855,50855.99479,614
A,555,64564.29036,50191.704060000004,503
A,556,20974.81857,46171.355169999995,734
A,557,15064.088930000002,80476.86364,571
A,558,25345.67421,83193.56814,533
A,559,38956.339980000004,58416.16101,665
A,560,21178.4606,56832.873889999995,602
A,561,21372.02216,89490.30784,699
A,562,23614.64453,58430.01618,746
A,563,20946.091419999997,61194.54551,537
A,564,33101.181000000004,40476.05676,387
A,565,48513.02342,62694.53456,607
A,566,19849.064140000002,53858.53453,730
A,567,50189.479660000005,37859.76881,618
A,568,29812.696969999997,50280.01405,600
A,569,29267.923789999997,60131.395220000006,505
A,570,26715.23486,60633.51143,811
A,571,15962.368869999998,53750.11004,516
A,572,8742.155442,29637.30549,592
A,573,23308.12492,69966.10342,554
A,574,25799.63591,57910.491910000004,567
A,575,49720.7235,24146.18147,735
A,576,22945.59763,65742.68276,677
A,577,20946.091419999997,61194.54551,736
A,578,18229.990380000003,72969.21118,625
A,579,28280.604560000003,52273.77725,669
A,580,20624.23217,58610.40067,620
A,581,40490.13357,45963.54992,595
A,582,2776.015814,48001.69643,613
A,583,19509.01601,64171.89202000001,778
A,584,33039.74085,56157.724,706
A,585,8437.350489,35514.07989,591
A,586,14787.80204,48227.56687,607
A,587,27002.73835,53293.94755,655
A,588,32874.02841,49376.61029,640
A,589,39646.79256,35370.43832,581
A,590,6745.419211,63653.00259,649
A,591,37476.05068,78632.11033,404
A,592,22467.198809999998,80893.68814,698
A,593,39535.66627,69449.50834,595
A,594,23295.584769999998,56670.376370000005,458
A,595,38842.722030000004,88838.24618999999,616
A,596,21204.15177,64685.10127000001,643
A,597,23105.7139,59059.21234,695
A,598,32145.0736,50907.35024,549
A,599,63569.52009,47741.923160000006,691
A,600,21370.86237,66647.91309,466
A,601,16788.73174,64563.87968,529
A,602,39034.643339999995,44224.135989999995,790
A,603,15561.998580000001,62890.790129999994,505
A,604,22142.65527,54444.40545,566
A,605,25635.88942,53014.471880000005,545
A,606,46370.86167,16685.5408,518
A,607,19149.36665,33143.38705,727
A,608,26160.30291,53751.290629999996,539
A,609,31083.28925,66847.96657,730
A,610,20665.07054,61194.5121,664
A,611,18680.70737,62244.252720000004,532
A,612,35566.083360000004,6431.557836,710
A,613,29797.127999999997,50594.63998,674
A,614,9137.716617,27187.7919,626
A,615,32495.46825,40737.44498,562
A,616,45390.44337,13243.71203,639
A,617,20182.177480000002,63228.77159,631
A,618,34582.184539999995,53487.36303,639
A,619,19219.771719999997,67459.15325,615
A,620,27073.20795,57961.936460000004,588
A,621,18466.85989,63439.773329999996,631
A,622,21954.24355,37502.419069999996,641
A,623,21718.3562,61833.50935,736
A,624,24834.6808,53998.2668,776
A,625,33431.92803,68172.69442,554
A,626,12080.90313,75686.49483,519
A,627,36350.75647,95688.01203,467
A,628,5445.434986,31495.045239999996,553
A,629,21856.55909,63615.61369,581
A,630,20390.92728,60579.182239999995,491
A,631,12449.83413,62756.348210000004,546
A,632,37810.38986,94635.8991,486
A,633,50922.73437,44857.86516,497
A,634,15416.03321,78519.48697,611
A,635,20725.96446,57401.39242999999,447
A,636,17578.5218,87613.79011,475
A,637,29874.51725,58312.49227,585
A,638,24162.62042,37143.96671,506
A,639,19065.54567,59910.302820000004,779
A,640,23637.49816,80345.41774,579
A,641,17342.80199,58680.31135,632
A,642,22227.90715,79683.27657,524
A,643,24928.93981,84992.15612,713
A,644,6762.687995,38692.30406,676
A,645,18292.73916,56220.651410000006,682
A,646,24966.88938,77981.68591,645
A,647,19587.02175,66804.19582000001,757
A,648,27241.574119999997,58132.60897,488
A,649,35752.879310000004,29259.807839999998,512
A,650,20797.4511,58199.90232000001,691
A,651,540.9346085,50080.974089999996,743
A,652,40082.434760000004,69956.79239,652
A,653,46316.069489999994,89685.5276,631
A,654,20854.54848,77481.24034,421
A,655,9084.853804999999,58971.67085,826
A,656,16026.872459999999,28231.952589999997,687
A,657,15216.764290000001,61266.4721,679
A,658,21759.3346,68124.44636,521
A,659,47756.60419,62153.72635,514
A,660,24289.429219999998,39600.40788,518
A,661,9236.556076,57518.25922000001,497
A,662,39070.906460000006,96709.7973,684
A,663,24440.537959999998,59939.9511,646
A,664,18750.35704,48211.35053,475
A,665,39265.60338,76899.60171,643
A,666,20981.10027,66514.85222999999,590
A,667,24900.82385,74055.51653,762
A,668,19578.98602,73087.64837000001,710
A,669,51787.039430000004,81308.42991,596
A,670,18997.891209999998,47053.44158,704
A,671,17054.06983,63716.75419,643
A,672,25992.7968,54406.99427,440
A,673,23695.17535,57432.956379999996,622
A,674,37212.87923,65237.94922,661
A,675,17815.82888,62142.488520000006,569
A,676,33216.56222,75104.68914,645
A,677,33547.17132,56994.82566,848
A,678,25114.037809999998,89280.49782,497
A,679,47836.97092,85689.4364,640
A,680,22484.07476,46927.16352,571
A,681,13331.44399,51741.46702,550
A,682,19173.3353,53072.69923,521
A,683,29674.228619999998,48822.73768,623
A,684,14929.702319999999,38390.36385,578
A,685,21074.23014,64640.37267999999,492
A,686,19832.48101,63563.968660000006,727
A,687,21724.76089,61997.710920000005,625
A,688,21436.67994,57081.49842,594
A,689,38741.82775,42335.32235,684
A,690,49174.93711,54760.41244,588
A,691,25800.47735,57907.139489999994,583
A,692,26099.3499,55125.280060000005,556
A,693,48979.3744,67591.01123999999,367
A,694,28095.141760000002,21966.07517,432
A,695,21316.552630000002,59120.380020000004,754
A,696,26307.783369999997,52172.324889999996,479
A,697,49885.67936,13057.73646,605
A,698,19587.27942,78501.02083,602
A,699,24661.92969,87754.66955,669
A,700,27477.79676,84922.40136,505
A,701,8908.409333,66144.61628999999,644
A,702,34662.932960000006,57511.16457000001,682
A,703,10121.98476,37224.82565,711
A,704,31766.757110000002,50582.64479,666
A,705,23097.12655,54392.18127000001,608
A,706,23973.58961,54763.08546,611
A,707,48445.13736,80143.43745,628
A,708,19010.571519999998,57031.04512,592
A,709,18836.19037,20570.77952,568
A,710,29483.143969999997,45895.63287,596
A,711,9117.025459999999,39571.98474,555
A,712,19957.79311,65334.35624,463
A,713,33017.27527,99887.16387,620
A,714,19354.25373,54553.197479999995,516
A,715,25054.16969,56678.37316,595
A,716,20707.5982,48189.342639999995,577
A,717,27687.784939999998,21166.351280000003,634
A,718,19930.77923,51727.76778,803
A,719,14399.5645,57817.71574,707
A,720,20412.092959999998,90082.02599,615
A,721,31978.823119999997,52429.94861,557
A,722,47967.64368,85759.48074,671
A,723,19898.28798,64173.061460000004,652
A,724,34455.306430000004,45256.089869999996,746
A,725,9941.366506999999,58981.817189999994,642
A,726,31907.475469999998,56408.331029999994,611
A,727,18852.97035,45456.577730000005,774
A,728,50150.7179,65485.304070000006,610
A,729,10333.87959,30518.033110000004,433
A,730,22251.356519999998,61151.13117000001,537
A,731,33012.47175,73529.86658,613
A,732,30359.25025,49628.64293,594
A,733,11612.2954,66081.20997000001,614
A,734,26175.38214,51308.103189999994,733
